StationID,Date Time,Soil Temp (C) Avg,Soil Temp (C) Min,Soil Temp (C) Max,Temp @ 60cm (C) Avg,Temp @ 60cm (C) Min,Temp @ 60cm (C) Max,Temp @ 2m (C) Avg,Temp @ 2m (C) Min,Temp @ 2m (C) Max,Temp @ 10m (C) Avg,Temp @ 10m (C) Min,Temp @ 10m (C) Max,Relative Humidity (%) Avg,Dew Point Temp (C) Avg,Dew Point Temp (C) Min,Dew Point Temp (C) Max,Rainfall Amount (in) Sum,Wind Speed (mph) Avg,Wind Speed (mph) Max,Wind Direction (deg) Avg,Solar Radiation (w/m2) Avg,Solar Radiation (MJ/m2) Sum,ETo Grass (mm) Avg,Number of Observations
260,2025-01-01 00:00:00,17.01,15.71,18.06,12.64,2.8,19.22,13.86,5.79,19.36,13.9,7.62,18.56,72.65,8.39,3.67,17.82,0,4.48,9.36,283.85,162.43,14.034159,1.12,96
260,2025-01-02 00:00:00,14.34,12.77,15.76,6.09,-0.38,17.66,7.75,1.62,17.95,7.81,2.12,17.19,74.48,2.48,-1.96,5.07,0,2.09,5.44,99.91,159.75,13.802769,0.99,96
260,2025-01-03 00:00:00,13.18,11.49,14.77,6.91,-2.59,18.28,8.47,-0.39,18.92,8.38,-0.44,17.38,68.89,1.56,-1.68,7.19,0,3.11,9.84,232.17,164.21,14.187573,1.03,96
260,2025-01-04 00:00:00,12.77,11.22,14.39,6.4,-1.26,16.5,8.09,1.44,16.99,8.29,2.02,15.69,60.34,-0.7,-7.25,5.41,0,2.84,6.9,185.24,164.24,14.190129,0.98,96
260,2025-01-05 00:00:00,12.7,11.06,14.61,9.63,-1.5,22.82,10.73,0.76,21.43,10.71,1,20.27,64.69,3.02,-0.39,7.97,0,3.26,7.81,138.79,156.14,13.490856,1.17,96
260,2025-01-06 00:00:00,13.7,12.65,15,14.17,4.73,23.77,15.27,5.39,23.47,14.97,5,22.17,78.48,11.39,1.39,19.68,0.03,9.59,19.27,235.12,86.76,7.495821,1.70,96
260,2025-01-07 00:00:00,12.18,10.86,13.65,3.32,-2.95,10.79,4.33,-0.67,11.06,3.87,-0.43,10.13,70.38,-0.99,-3.2,1.36,0,4.79,10.47,195.7,164.88,14.245299000000001,0.84,96
260,2025-01-08 00:00:00,11.04,9.34,12.86,3.49,-4.23,14.19,4.96,-2.11,14.41,4.96,-1.74,13.17,68.59,-1.38,-3.17,1.67,0.02,3.22,6.67,247.17,168.33,14.543325,0.91,96
260,2025-01-09 00:00:00,10.74,9.32,12.23,2.65,-3.27,11.37,3.77,-1.15,11.5,3.38,-1.45,10.45,62.7,-3.47,-6.28,-1.07,0,3.86,8.08,148.16,170.05,14.692545,0.84,96
260,2025-01-10 00:00:00,11.03,9.36,13.16,10.21,-3.07,21.14,10.86,-1.33,19.92,10.2,-1.17,18.81,71.89,5.55,-2.6,15.33,0.03,6.3,12.58,142.18,141.53,12.227895,1.30,96
260,2025-01-11 00:00:00,12.74,11.27,13.24,8.68,-1.41,15.58,9.46,0.65,16.16,8.99,1.67,15.53,87.17,7.42,-0.4,14.78,0.1,6.65,13.22,290,46.57,4.023440999999999,1.39,96
260,2025-01-12 00:00:00,10.59,8.66,12.38,4.42,-5.24,13.68,5.54,-2.38,13.5,5.15,-2.22,12.69,74.96,0.81,-3.27,5.99,0,2.21,5.9,151.71,161.87,13.985397,0.90,96
260,2025-01-13 00:00:00,11.33,10.94,11.68,8.46,7.26,9.57,9.05,7.95,10.25,8.34,7.2,9.58,80.01,5.62,3.29,8.12,0.26,5.06,7.96,59.15,20.14,1.722294,0.94,96
260,2025-01-14 00:00:00,11.3,9.86,13.04,8.57,3.3,16.41,9.47,4.85,16.56,9.19,4.3,15.72,69.88,3.14,-2.16,7.08,0.01,3.73,7.93,151.91,174.2,15.050906999999999,1.08,96
260,2025-01-15 00:00:00,10.82,9.97,11.78,6.66,0.77,13.63,7.77,2.51,13.61,7.53,3.03,12.6,71.64,2.44,-0.07,6.06,0,2.33,5.52,101.59,73.51,6.351651,1.12,96
260,2025-01-16 00:00:00,11.24,10.18,13.09,9.13,1.43,18.3,10,4.01,18.21,9.72,3.96,17.14,76.18,5.48,2.92,7.36,0,3.07,6.94,207.36,126.06,10.891691999999997,1.23,96
260,2025-01-17 00:00:00,11.16,9.14,13.38,8.05,-1.69,20.74,9.41,0.39,20.3,9.44,0.61,19.04,69.92,2.85,-0.52,8.86,0,2.51,6.56,133.52,174.12,14.887647,1.18,96
